セクション,ステータス,優先度,名前,所属 / ブランド,肩書き,ジャンル,URL,メモ
リサーチ候補（幅広く）,,,川内倫子,,写真家,写真,https://www.instagram.com/rinkokawauchi/,SFMOMA等に収蔵。日常に生と死の循環を写し続ける
リサーチ候補（幅広く）,,,濱田英明,,写真家,写真,https://www.instagram.com/hamadahideaki/,35歳でデザイナーから転身。「祈り」として撮影する哲学
リサーチ候補（幅広く）,,,小倉ヒラク,発酵デパートメント,発酵デザイナー,食 / 発酵,https://www.instagram.com/ogura_hiraku/,地域の蔵文化・菌文化をデザインで可視化・継承。N organicとの思想的親和性高
リサーチ候補（幅広く）,,,是枝裕和,分福,映画監督・脚本家,映画,https://x.com/Kore_eda,カンヌ・パルム・ドール。自主制作×若手育成
リサーチ候補（幅広く）,,,石黒浩,大阪大学,ロボット工学者・教授,研究,,アンドロイド研究。「人間を知るためにロボットをつくる」
リサーチ候補（幅広く）,,,山中俊治,東京大学大学院,プロダクトデザイナー・教授,研究,https://x.com/Yam_eye,デザインエンジニアリング創設。義肢〜鉄道車両まで
リサーチ候補（幅広く）,,,稲葉俊郎,軽井沢病院,医師・医学博士,研究,https://www.instagram.com/toshiro.inaba/,西洋医学×東洋哲学×芸術の統合
リサーチ候補（幅広く）,,,山口周,独立研究者,著作家・パブリックスピーカー,研究,https://x.com/shu_yamaguchi,「美意識」「役に立つより意味があること」の思想
リサーチ候補（幅広く）,,,吉原義人,,刀鍛冶・人間国宝,伝統工芸,,MET・ボストン美術館収蔵。1975年から世界普及活動
リサーチ候補（幅広く）,,,梅田宏明,S20,ダンサー・振付家,身体表現,https://www.instagram.com/hiroakiumd/,身体×光×音×映像の総合芸術。世界各地で上演
リサーチ候補（幅広く）,,,森山未來,,俳優・ダンサー,身体表現,https://www.instagram.com/mirai_moriyama/,俳優×ダンサー×アートコミュニケーター
リサーチ候補（幅広く）,,,伊藤郁女,,ダンサー・振付家（ベルギー拠点）,身体表現,,身体と言語・記憶をテーマに欧州で活動
リサーチ候補（幅広く）,,,Ryan Gander,,現代美術家（英国）,アート,https://www.ryangander.com,ポーラ美術館等で個展。「曖昧さを提供する触媒」としてのアート哲学
リサーチ候補（幅広く）,,,西村宏堂,,僧侶・メイクアップアーティスト,ライフスタイル,https://www.instagram.com/kodo_nishimura/,宗教×美容×LGBTQ。「美しく生きること」の哲学
リサーチ候補（幅広く）,,,西畠清順,そら植物園,プラントハンター（150年続く花問屋5代目）,植物,https://www.instagram.com/seijun_nishihata/,都市と植物の共生思想。「継ぐこと」の体現者
リサーチ候補（幅広く）,,,田中達也,,ミニチュア写真家・見立て作家,写真 / アート,https://www.instagram.com/tanaka_tatsuya_/,MINIATURE CALENDAR 14年継続。Instagram 250万フォロワー
リサーチ候補（幅広く）,,,平田オリザ,青年団 / 芸術文化観光専門職大学,劇作家・演出家・学長,演劇,https://x.com/hirata_oriza,現代口語演劇理論の確立。演劇を社会に残す制度設計
ずっと長く残るもの,,,小川三夫,鵤工舎,宮大工棟梁,伝統工芸,https://ikarugakousya.com/,法隆寺再建。1300年続く木組み技法を徒弟制で継承
ずっと長く残るもの,,,稲本正,オークヴィレッジ,創業者・作家,伝統工芸 / 自然,https://www.oakv.co.jp/,「100年かかった木は100年使えるものに」。50年前に植えた木が今の材料に
ずっと長く残るもの,,,赤木明登,,塗師・漆芸家・文筆家,伝統工芸,https://www.instagram.com/nurimono_/,元編集者が輪島に移住し職人へ転身。能登地震後も制作継続
ずっと長く残るもの,,,臼井健二・朋子,安曇野シードバンク,種センター運営者,自然 / 農業,,200種超の在来種を保存・配布。「種1粒に何千年の時間が入っている」
ずっと長く残るもの,,,山本理顕,,建築家・2024年プリツカー賞受賞,建築,https://www.riken-yamamoto.co.jp/,「建築を通じたコミュニティの創出」を50年追求
ずっと長く残るもの,,,乾久美子,乾久美子建築設計事務所,建築家・東京藝大教授,建築,https://inuiarchitects.com/,「引き算で100年後も場所に馴染む建築」
ずっと長く残るもの,,,長谷川豪,Go Hasegawa Architects,建築家,建築,https://ghaa.co.jp/,「建築が環境を掴む」哲学
ずっと長く残るもの,,,坂本大三郎,出羽三山,山伏・美術作家・著述家,身体 / 思想,https://www.instagram.com/daizaburo_sakamoto/,イラストレーターから山伏へ転身。1000年続く修験道を身体で生きる
ずっと長く残るもの,,,畑中章宏,,民俗学者・著述家,民俗 / 記録,https://x.com/akirevolution,「消えゆく生活の記憶」を記録
ずっと長く残るもの,,,中川奈津子,九州大学,危機言語研究者・准教授,言語 / 記録,,消滅危機言語をデジタル技術で記録
ずっと長く残るもの,,,Stewart Brand,Long Now Foundation,共同創設者・文明思想家（米）,思想,https://longnow.org/,10000年時計プロジェクト。Pace Layers理論
ずっと長く残るもの,,,Maya Lin,,彫刻家・建築家・環境アーティスト（米）,アート,https://www.mayalinstudio.com/,ベトナム慰霊碑〜生態系回復アートまで。「完成しない作品」
ずっと長く残るもの,,,Olafur Eliasson,Studio Olafur Eliasson,現代美術家（デンマーク）,アート,https://olafureliasson.net/,氷河を都市に運ぶIce Watch。気候変動の100年を5分に圧縮
ビジネス系,,,野口卓也,BULK HOMME,代表取締役CEO,ビジネス / スキンケア,https://note.com/nogutaku,メンズスキンケアをゼロから開拓。「残るブランド」の設計思想が明確
ビジネス系,,,今井浩恵,SHIRO,創業者・ブランドプロデューサー,ビジネス / コスメ,https://note.com/shiro2009,北海道砂川発。地域と会社を一体で育てる。「なぜ社長をやめたか」の話が強い
ビジネス系,,,木村昌史,ALL YOURS,代表取締役,ビジネス / ファッション,https://x.com/allyours_jp,顧客を「共犯者」にする。コミュニティがブランドを残す新設計
ビジネス系,,,山田敏夫,Factelier,CEO,ビジネス / ファッション,https://x.com/tocio_yama,工場直結D2C。廃業寸前の工場を継業で残す
ビジネス系,,,吉田幸裕,PORTER / POTR,吉田カバン4代目社長,ビジネス / ファッション,,創業90年の鞄ブランド継承。動態保存の哲学
ビジネス系,,,小野邦彦,坂ノ途中,代表取締役,ビジネス / 農業,,「100年先もつづく農業を」がビジョン
ビジネス系,,,土屋成範,土屋鞄製造所,代表取締役2代目,ビジネス / 工芸,,廃業寸前から「残す」を選んだ。革の経年変化=ブランド哲学
ビジネス系,,,片山正通,Wonderwall,代表・インテリアデザイナー,ビジネス / 空間デザイン,https://www.instagram.com/masamichi_katayama/,「空間がブランドを残す」設計哲学
ビジネス系,,,太刀川英輔,NOSIGNER,代表・デザインアクティビスト,ビジネス / デザイン,https://x.com/NOSIGNER,「進化思考」著者。WDO理事
ビジネス系,,,小山薫堂,オレンジ・アンド・パートナーズ,放送作家・京都芸術大副学長,ビジネス / コンテンツ,,くまモン・料理の鉄人を生んだ放送作家が下鴨茶寮（創業1856年）を経営
ビジネス系,,,奈良祐希,EARTHEN,建築家・陶芸家,ビジネス / 伝統工芸,,350年続く大樋焼11代目の息子。建築×陶芸の融合
ビジネス系,,,川村元気,,映画プロデューサー・小説家,ビジネス / コンテンツ,,「電車男」「告白」等プロデュース
ビジネス系,,,佐々木康裕,Takram,ビジネスデザイナー,ビジネス / デザイン,,『D2C「世界観」と「テクノロジー」で勝つブランド戦略』著者
