"調査日","公開年月","カテゴリー","タイトル_作品名","ブランド_アーティスト","監督_クリエイター","プロダクション会社","国_地域","URL","映像表現の特徴","話題性_受賞","トレンドタグ"
"2026-07-08","2026年07月","製品ローンチ","NewBeauty 7月新製品リスト（MERIT初のチューブ式マスカラ/Aveeno初のビタミンC美容液）","複数ブランド","","","米国","https://www.newbeauty.com/view/best-new-beauty-products-july-2026","MERITが日本製処方の初チューブ式マスカラ、Aveenoが敏感肌向け初のビタミンC美容液(安定型ビタミンC×オート麦)を投入。大手が定番カテゴリで初挑戦","","スキンケア 新製品 ビタミンC 敏感肌"
"2026-07-11","2026年07月","クリエイティブキャンペーン","The Ordinary「Pore Playground」ニキビ・毛穴の誤解に挑むグローバルキャンペーン","The Ordinary","","","グローバル","https://www.2cents.my/2026/07/11/the-ordinary-launches-pore-playground-to-challenge-misconceptions-around-breakouts/","フィルター/加工/ニキビパッチが肌の実態を覆う時代に、ニキビ肌の正直な対話を促すブランドパーパス型施策。Niacinamide+Zinc等を軸に7/28グローバル始動を予告","","スキンケア 毛穴 ニキビ ブランドパーパス"
"2026-07-11","2026年07月","クリエイティブキャンペーン","LANEIGE×HEAL Wellness アサイーマンゴーボウル コラボ（カナダ全44店）","LANEIGE","","","カナダ","https://www.newsfilecorp.com/release/304685/HEAL-Wellness-Collaborates-with-Global-Skincare-Brand-LANEIGE-to-Launch-LimitedTime-Aa-Mango-Bowl-Across-Canada","新リップ「アサイーマンゴー」発売に合わせQSRのHEALとF&Bコラボ。リップの色設計をボウルの配色で再現し、ビューティー×ウェルネス×食の越境体験(7/11-8/6)","","スキンケア F&Bコラボ 体験型 越境"
"2026-07-30","2026年07月","製品ローンチ","Dr.Jart+ Vital Hydra Solution ゼリーベア リップマスク（限定シアーピンク追加）","Dr.Jart+","","","グローバル","https://beautymatter.com/articles/2026-week-31-beauty-brand-and-product-launches","ヒアルロン酸配合の韓国発ゼリー質感リップマスク。定番に加え限定シアーピンク(ラズベリー微香)を追加。BeautyMatter Week31で紹介","","スキンケア リップケア K-beauty 限定色"
"2026-07-28","2026年07月","製品ローンチ","PanOxyl Pore Refining Acne Mask（5%コロイド硫黄）で硫黄セグメント参入","PanOxyl","","","米国","https://www.prnewswire.com/news-releases/the-panoxyl-brand-strengthens-market-leadership-with-expansion-into-high-growth-sulfur-segment-and-new-maximum-strength-acne-care-innovation-302836109.html","ニキビケア大手が高成長の硫黄セグメントへ参入。5%コロイド硫黄+氷河/カオリンクレイで毛穴・皮脂対応。BPO10%スポット美容液も同時投入","","スキンケア ニキビ 硫黄 マス"
"2026-07-30","2026年07月","クリエイティブキャンペーン","SkinCeuticals 元アナウンサー姜智英を韓国アンバサダーに起用（抗酸化ファクトチェック型）","SkinCeuticals","","","韓国","https://sports.khan.co.kr/en/article/202607302306027/","肌科学・抗酸化への疑問を検証するファクトチェック型のブランド訴求。看板美容液C E Ferulicの臨床エビデンス(30年研究)を人物で体現","","スキンケア アンバサダー 抗酸化 エビデンス訴求"
"2026-07-31","2026年07月","クリエイティブキャンペーン","Amahvas「Ocean of Milk」乳海撹拌(サムドラ・マンタン)神話モチーフのブランド設計","Amahvas","","","インド","https://www.harpersbazaar.in/beauty/story/the-july-beauty-edit-little-luxuries-worth-indulging-in-1431549-2026-07-31","インド神話の乳海撹拌をブランド世界観に。各成分を神話の神/宝に見立てる(レチナール=ハラハラ、ミルクペプチド=カマデヌ等)ストーリーテリング型","","スキンケア インド 神話モチーフ ストーリーテリング"
"2026-07-31","2026年07月","製品ローンチ","Foxtale Brightening Moisturiser（SPF50 PA++++入り保湿）","Foxtale","","","インド","https://www.harpersbazaar.in/beauty/story/the-july-beauty-edit-little-luxuries-worth-indulging-in-1431549-2026-07-31","SPF50 PA++++の防御と美容を1本に統合。ビタミンC+ナイアシンアミドでくすみ・トーン対応。インドD2Cのハイブリッド保湿トレンド","","スキンケア インド 日焼け止め ハイブリッド"
"2026-07-31","2026年07月","製品ローンチ","Forlle'd Hyalogy Creamy Wash（日本開発の低刺激クレンジング）","Forlle'd","","","日本","https://www.harpersbazaar.in/beauty/story/the-july-beauty-edit-little-luxuries-worth-indulging-in-1431549-2026-07-31","日本で開発・処方された軽い泡質の洗顔。ココナッツ油由来成分で乾燥・敏感肌向け。HB Indiaのジュライエディットで紹介","","スキンケア 日本 クレンジング 敏感肌"
"2026-08-03","2026-08","クリエイティブキャンペーン","e.l.f. SKIN × Bubble スキンケア×メイク ハイブリッド3種コラボ（Drop N' Dunk / Glow Talk / Camo Slide）","e.l.f. SKIN × Bubble","","","米国/英国","https://investor.elfbeauty.com/stock-and-financial/press-releases/landing-news/2026/08-03-2026-180015540","「コミュニティがmix・layer・glowする」を体現したスキンケア×メイクのハイブリッド設計。ブロンジングドロップ+保湿、リップバーム+セラム、リキッドブラッシュ+ヒアルロン酸の3品","8/7 elfcosmetics.com・Bubble.com先行→8/9 Target全店（数量限定）","スキンメイクハイブリッド コラボ コミュニティ Z世代 マス価格"
"2026-08-06","2026-08","製品ローンチ","Elizabeth Arden Advanced Gold Ceramide Capsules（P-PARロンジェビティ・カタリスト）","Elizabeth Arden","","","米国","https://www.newbeauty.com/view/launch-list-august-2026","自然なセラミド産生を促す特許出願中のP-PARを配合した単回カプセル型セラム（$99/60粒）","NewBeauty 2026年8月ローンチリスト掲載","セラミド ロンジェビティ カプセルセラム エイジングケア"
"2026-08-06","2026-08","製品ローンチ","Dieux Firm Revival HydroRetinal Firming Serum（敏感肌向け初のレチナール）","Dieux","","","米国","https://www.newbeauty.com/view/launch-list-august-2026","敏感肌設計をうたう初のレチナール美容液。4週間で小じわ減少の臨床提示（$42）","NewBeauty 2026年8月ローンチリスト掲載","レチナール 敏感肌 ファーミング クリーンビューティ"
"2026-08-06","2026-08","製品ローンチ","fresh Soy Cleansing Jelly Balm（オイルインジェリー クレンザー）","fresh","","","米国","https://www.newbeauty.com/view/launch-list-august-2026","3年の試作を経たオイルインジェリー処方。ジェリー→オイル→ミルクに変化しメイク・SPFを溶かす（$42）","NewBeauty 2026年8月ローンチリスト掲載","クレンジングバーム テクスチャー変化 大豆 メイクオフ"
"2026-08-19","2026-08","クリエイティブキャンペーン","L'Oréal Paris × Kristen Bell グローバルアンバサダー就任「You're Worth It」新章","L'Oréal Paris","","","米国/グローバル","https://wwd.com/business-news/business-features/kristen-bell-loreal-paris-global-ambassador-beauty-1239128039/","Emmyノミネート女優K・Bell起用。Age Perfect Cell Renewal Midnight Cream起用、自分の言葉で価値を語る新章","2026-08-19発表","タレント起用 アンバサダー YoureWorthIt エイジングケア"
"2026-08-13","2026-08","製品ローンチ","Drunk Elephant「Kamo Triple-Peptide Cover Drops」初のコンプレクション参入","Drunk Elephant","","","米国","https://beautymatter.com/articles/2026-week-33-beauty-brand-and-product-launches","スキンケアブランドが初のコンプレクション製品。トリペプチド配合スキンティントで新カテゴリー拡張","BeautyMatter Week33(2026-08-13)掲載","コンプレクション ペプチド スキンティント カテゴリー拡張"
